YEAR,REGION,AREA,SOURCE_LOAN,PURPOSE_BORROW,VALUE,UNIT,SOURCE
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,86688,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการศึกษา,4307,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",64584,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,19090,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,5403,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ",อื่นๆ,2251,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,รวม,5262,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,1428,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,101,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",1955,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,1351,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,168,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,260,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,รวม,105022,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,21957,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,ใช้ในการศึกษา,1772,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",42132,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,ใช้ในการทำธุรกิจ,10210,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,ใช้ในการทำการเกษตร,27230,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,อื่นๆ,1723,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ",รวม,101785,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,21534,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการศึกษา,1727,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",40720,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,9792,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,26502,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"หนี้ในระบบ ",อื่นๆ,1510,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,รวม,3238,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,423,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,45,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",1412,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,417,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,727,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,213,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,รวม,202157,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,124166,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,ใช้ในการศึกษา,2991,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",56839,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,ใช้ในการทำธุรกิจ,14468,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,ใช้ในการทำการเกษตร,1070,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,รวม,อื่นๆ,2625,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ",รวม,194113,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,120964,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ",ใช้ในการศึกษา,2823,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",54370,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,12898,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,973,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"หนี้ในระบบ ",อื่นๆ,2086,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,รวม,8044,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,3202,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,ใช้ในการศึกษา,167,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",2469,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,1570,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,97,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,หนี้นอกระบบ,อื่นๆ,539,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,รวม,204811,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,126802,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,ใช้ในการศึกษา,3440,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",56177,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,ใช้ในการทำธุรกิจ,14427,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,ใช้ในการทำการเกษตร,1002,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,รวม,อื่นๆ,2963,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ",รวม,196103,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,123241,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการศึกษา,3244,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",53703,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,12590,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,889,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"หนี้ในระบบ ",อื่นๆ,2436,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,รวม,8709,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,3561,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,196,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",2474,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,1838,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,113,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,527,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,รวม,186603,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,108717,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,ใช้ในการศึกษา,359,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",60717,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,ใช้ในการทำธุรกิจ,14705,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,ใช้ในการทำการเกษตร,1464,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,รวม,อื่นๆ,642,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ",รวม,182455,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,107617,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการศึกษา,359,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",58277,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,14705,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,1464,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"หนี้ในระบบ ",อื่นๆ,34,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,รวม,4149,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,1100,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,0,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",2440,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,0,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,0,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,609,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,รวม,109168,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,39865,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,ใช้ในการศึกษา,1744,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",37708,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,ใช้ในการทำธุรกิจ,10309,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,ใช้ในการทำการเกษตร,18272,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,รวม,อื่นๆ,1270,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ",รวม,105307,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,39448,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ",ใช้ในการศึกษา,1707,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",36313,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,9585,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,17154,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"หนี้ในระบบ ",อื่นๆ,1100,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,รวม,3861,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,417,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ในการศึกษา,37,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",1395,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,724,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,1118,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,หนี้นอกระบบ,อื่นๆ,170,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,รวม,130495,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,64563,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,ใช้ในการศึกษา,2078,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",44698,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,ใช้ในการทำธุรกิจ,12858,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,ใช้ในการทำการเกษตร,5759,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,รวม,อื่นๆ,540,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,"หนี้ในระบบ ",รวม,127080,บาท,สำนักงานสถิติแห่งชาติ
